"dataset","sim","method","mse"
"Elevators",21,"AR",1.16818665167532e-05
"Elevators",22,"AR",1.15102117824096e-05
"Elevators",23,"AR",1.1519285990379e-05
"Elevators",24,"AR",1.12538736005947e-05
"Elevators",25,"AR",1.14096515569886e-05
"Elevators",26,"AR",1.14603976417613e-05
"Elevators",27,"AR",1.13374549423932e-05
"Elevators",28,"AR",1.14827114101869e-05
"Elevators",29,"AR",1.11060626527848e-05
"Elevators",30,"AR",1.16730829166679e-05
"Elevators",31,"AR",1.13803489668111e-05
"Elevators",32,"AR",1.14352437613585e-05
"Elevators",33,"AR",1.1355012500112e-05
"Elevators",34,"AR",1.13967126982331e-05
"Elevators",35,"AR",1.1531462880215e-05
"Elevators",36,"AR",1.13231292807617e-05
"Elevators",37,"AR",1.14883562403588e-05
"Elevators",38,"AR",1.16822855768545e-05
"Elevators",39,"AR",1.13615597756907e-05
"Elevators",40,"AR",1.14971887240709e-05
"Elevators",41,"AR",1.15505669062184e-05
"Elevators",42,"AR",1.15040009119062e-05
"Elevators",43,"AR",1.1318905241317e-05
"Elevators",44,"AR",1.17771501529303e-05
"Elevators",45,"AR",1.1302373983879e-05
"Elevators",46,"AR",1.12306378612262e-05
"Elevators",47,"AR",1.1353279981906e-05
"Elevators",48,"AR",1.15576260397655e-05
"Elevators",49,"AR",1.14021799284162e-05
"Elevators",50,"AR",1.14037379596252e-05
