"dataset","sim","method","minpvalue","misclass","auc"
"German",30,"AR",0.25,0.253,0.796890476190476
"German",30,"AR",0.5,0.263,0.800619047619048
"German",30,"AR",0.75,0.265,0.795285714285714
"German",30,"AR",0.9,0.262,0.794419047619048
"German",31,"AR",0.01,0.245,0.796242857142857
"German",31,"AR",0.1,0.245,0.801752380952381
"German",31,"AR",0.25,0.251,0.798109523809524
"German",31,"AR",0.5,0.254,0.792928571428571
"German",31,"AR",0.75,0.264,0.796580952380952
"German",31,"AR",0.9,0.267,0.79237619047619
"German",32,"AR",0.01,0.251,0.795847619047619
"German",32,"AR",0.1,0.238,0.798114285714286
"German",32,"AR",0.25,0.248,0.7947
"German",32,"AR",0.5,0.257,0.790971428571429
"German",32,"AR",0.75,0.266,0.799728571428571
"German",32,"AR",0.9,0.268,0.791419047619048
"German",33,"AR",0.01,0.247,0.792580952380952
"German",33,"AR",0.1,0.24,0.798233333333333
"German",33,"AR",0.25,0.24,0.794438095238095
"German",33,"AR",0.5,0.26,0.794071428571429
"German",33,"AR",0.75,0.267,0.793652380952381
"German",33,"AR",0.9,0.273,0.791180952380952
"German",34,"AR",0.01,0.247,0.793152380952381
"German",34,"AR",0.1,0.245,0.798833333333333
"German",34,"AR",0.25,0.248,0.795361904761905
"German",34,"AR",0.5,0.255,0.796995238095238
"German",34,"AR",0.75,0.264,0.7985
"German",34,"AR",0.9,0.267,0.797819047619048
"German",35,"AR",0.01,0.25,0.790638095238095
"German",35,"AR",0.1,0.248,0.799552380952381
"German",35,"AR",0.25,0.243,0.80017619047619
"German",35,"AR",0.5,0.265,0.796876190476191
"German",35,"AR",0.75,0.266,0.793495238095238
"German",35,"AR",0.9,0.27,0.790309523809524
"German",36,"AR",0.01,0.252,0.79342380952381
"German",36,"AR",0.1,0.233,0.798004761904762
"German",36,"AR",0.25,0.244,0.797647619047619
"German",36,"AR",0.5,0.258,0.791604761904762
"German",36,"AR",0.75,0.265,0.797961904761905
"German",36,"AR",0.9,0.264,0.798009523809524
"German",37,"AR",0.01,0.246,0.796790476190476
"German",37,"AR",0.1,0.24,0.800104761904762
"German",37,"AR",0.25,0.245,0.799452380952381
"German",37,"AR",0.5,0.259,0.797547619047619
"German",37,"AR",0.75,0.263,0.797128571428571
"German",37,"AR",0.9,0.265,0.793590476190476
"German",38,"AR",0.01,0.244,0.794380952380952
"German",38,"AR",0.1,0.24,0.800452380952381
"German",38,"AR",0.25,0.253,0.79762380952381
"German",38,"AR",0.5,0.256,0.795833333333333
"German",38,"AR",0.75,0.263,0.795857142857143
"German",38,"AR",0.9,0.268,0.796442857142857
"German",39,"AR",0.01,0.248,0.79742380952381
"German",39,"AR",0.1,0.242,0.797042857142857
"German",39,"AR",0.25,0.243,0.800085714285714
"German",39,"AR",0.5,0.253,0.794209523809524
"German",39,"AR",0.75,0.268,0.788771428571429
"German",39,"AR",0.9,0.271,0.791242857142857
"German",40,"AR",0.01,0.245,0.794657142857143
"German",40,"AR",0.1,0.239,0.799328571428571
"German",40,"AR",0.25,0.251,0.798642857142857
"German",40,"AR",0.5,0.256,0.791366666666667
"German",40,"AR",0.75,0.263,0.79457619047619
"German",40,"AR",0.9,0.27,0.789780952380952
"German",41,"AR",0.01,0.244,0.794385714285714
"German",41,"AR",0.1,0.24,0.796790476190476
"German",41,"AR",0.25,0.253,0.7987
"German",41,"AR",0.5,0.252,0.795114285714286
"German",41,"AR",0.75,0.262,0.797923809523809
"German",41,"AR",0.9,0.264,0.796633333333333
"German",42,"AR",0.01,0.25,0.795190476190476
"German",42,"AR",0.1,0.236,0.800542857142857
"German",42,"AR",0.25,0.251,0.799028571428571
"German",42,"AR",0.5,0.26,0.798914285714286
"German",42,"AR",0.75,0.263,0.795366666666667
"German",42,"AR",0.9,0.273,0.792347619047619
"German",43,"AR",0.01,0.245,0.795561904761905
"German",43,"AR",0.1,0.238,0.798285714285714
"German",43,"AR",0.25,0.246,0.8034
"German",43,"AR",0.5,0.26,0.797319047619048
"German",43,"AR",0.75,0.268,0.794509523809524
"German",43,"AR",0.9,0.275,0.787757142857143
"German",44,"AR",0.01,0.251,0.793138095238095
"German",44,"AR",0.1,0.24,0.799552380952381
"German",44,"AR",0.25,0.248,0.797952380952381
"German",44,"AR",0.5,0.254,0.7953
"German",44,"AR",0.75,0.264,0.792180952380952
"German",44,"AR",0.9,0.269,0.7944
"German",45,"AR",0.01,0.247,0.791466666666667
"German",45,"AR",0.1,0.237,0.798352380952381
"German",45,"AR",0.25,0.251,0.796480952380952
"German",45,"AR",0.5,0.256,0.793385714285714
"German",45,"AR",0.75,0.261,0.800019047619048
"German",45,"AR",0.9,0.272,0.791961904761905
"German",46,"AR",0.01,0.244,0.794352380952381
"German",46,"AR",0.1,0.244,0.797014285714286
"German",46,"AR",0.25,0.237,0.801966666666667
"German",46,"AR",0.5,0.25,0.800919047619048
"German",46,"AR",0.75,0.267,0.788652380952381
"German",46,"AR",0.9,0.267,0.7957
"German",47,"AR",0.01,0.249,0.793385714285714
"German",47,"AR",0.1,0.234,0.7963
"German",47,"AR",0.25,0.245,0.799595238095238
"German",47,"AR",0.5,0.258,0.797042857142857
"German",47,"AR",0.75,0.264,0.794757142857143
"German",47,"AR",0.9,0.265,0.791561904761905
"German",48,"AR",0.01,0.254,0.791795238095238
"German",48,"AR",0.1,0.245,0.798876190476191
"German",48,"AR",0.25,0.252,0.797447619047619
"German",48,"AR",0.5,0.264,0.798195238095238
"German",48,"AR",0.75,0.268,0.800680952380952
"German",48,"AR",0.9,0.264,0.793271428571429
"German",49,"AR",0.01,0.25,0.793871428571429
"German",49,"AR",0.1,0.241,0.794728571428571
"German",49,"AR",0.25,0.241,0.797452380952381
"German",49,"AR",0.5,0.258,0.797961904761905
"German",49,"AR",0.75,0.268,0.794566666666667
"German",49,"AR",0.9,0.264,0.793190476190476
"German",50,"AR",0.01,0.25,0.793728571428571
"German",50,"AR",0.1,0.238,0.799695238095238
"German",50,"AR",0.25,0.245,0.794861904761905
"German",50,"AR",0.5,0.259,0.797247619047619
"German",50,"AR",0.75,0.266,0.799719047619048
"German",50,"AR",0.9,0.271,0.793519047619048
