"dataset","sim","method","minpvalue","misclass","auc"
"Spambase",8,"AR",0.1,0.0508585090197783,0.985961424780855
"Spambase",8,"AR",0.25,0.0517278852423386,0.986689468140585
"Spambase",8,"AR",0.5,0.0534666376874592,0.986810347078845
"Spambase",8,"AR",0.75,0.0549880460769398,0.986498950272264
"Spambase",8,"AR",0.9,0.0575961747446207,0.986186366438467
"Spambase",9,"AR",0.01,0.0515105411866985,0.984108870970933
"Spambase",9,"AR",0.1,0.0515105411866985,0.98584667881655
"Spambase",9,"AR",0.25,0.0521625733536188,0.986114155616103
"Spambase",9,"AR",0.5,0.0541186698543795,0.98672270490266
"Spambase",9,"AR",0.75,0.0532492936318192,0.986548014063898
"Spambase",9,"AR",0.9,0.0565094544664203,0.986190521033727
"Spambase",10,"AR",0.01,0.0523799174092589,0.984259425589616
"Spambase",10,"AR",0.1,0.0506411649641382,0.985971910187938
"Spambase",10,"AR",0.25,0.0515105411866985,0.986379456199091
"Spambase",10,"AR",0.5,0.052814605520539,0.986502709191785
"Spambase",10,"AR",0.75,0.0539013257987394,0.986385193497307
"Spambase",10,"AR",0.9,0.0571614866333406,0.985992485326365
"Spambase",11,"AR",0.01,0.0515105411866985,0.984436688320681
"Spambase",11,"AR",0.1,0.0497717887415779,0.985908404231831
"Spambase",11,"AR",0.25,0.0517278852423386,0.986567995688717
"Spambase",11,"AR",0.5,0.0539013257987394,0.986459976211975
"Spambase",11,"AR",0.75,0.0562921104107803,0.986266292937742
"Spambase",11,"AR",0.9,0.05564007824386,0.986234638878623
"Spambase",12,"AR",0.01,0.0519452292979787,0.98437852398705
"Spambase",12,"AR",0.1,0.0504238209084982,0.985885850714709
"Spambase",12,"AR",0.25,0.0497717887415779,0.986607958938355
"Spambase",12,"AR",0.5,0.0532492936318192,0.986680367598589
"Spambase",12,"AR",0.75,0.0552053901325799,0.986522295140865
"Spambase",12,"AR",0.9,0.0552053901325799,0.986560873525415
"Spambase",13,"AR",0.01,0.0519452292979787,0.984071281775729
"Spambase",13,"AR",0.1,0.0504238209084982,0.986024732899092
"Spambase",13,"AR",0.25,0.0525972614648989,0.986314565377898
"Spambase",13,"AR",0.5,0.0536839817430993,0.986569776229543
"Spambase",13,"AR",0.75,0.05564007824386,0.986520712437909
"Spambase",13,"AR",0.9,0.0560747663551402,0.986355319979013
"Spambase",14,"AR",0.01,0.0519452292979787,0.983994718520236
"Spambase",14,"AR",0.1,0.0502064768528581,0.985950543698033
"Spambase",14,"AR",0.25,0.0510758530754184,0.986314565377898
"Spambase",14,"AR",0.5,0.052814605520539,0.986523284330212
"Spambase",14,"AR",0.75,0.0536839817430993,0.986400822688997
"Spambase",14,"AR",0.9,0.0573788306889807,0.986527636763341
"Spambase",15,"AR",0.01,0.0525972614648989,0.984318183436855
"Spambase",15,"AR",0.1,0.0504238209084982,0.985881102605841
"Spambase",15,"AR",0.25,0.0502064768528581,0.986631501644824
"Spambase",15,"AR",0.5,0.0530319495761791,0.986689072464846
"Spambase",15,"AR",0.75,0.0547707020212997,0.986425750260552
"Spambase",15,"AR",0.9,0.0560747663551402,0.986208128604111
"Spambase",16,"AR",0.01,0.0519452292979787,0.984177520711647
"Spambase",16,"AR",0.1,0.0497717887415779,0.986115540481189
"Spambase",16,"AR",0.25,0.0508585090197783,0.986356111330491
"Spambase",16,"AR",0.5,0.0519452292979787,0.986613300560831
"Spambase",16,"AR",0.75,0.0549880460769398,0.986492619460441
"Spambase",16,"AR",0.9,0.0543360139100196,0.986535352440251
"Spambase",17,"AR",0.01,0.0510758530754184,0.984432335887552
"Spambase",17,"AR",0.1,0.0532492936318192,0.985645082027537
"Spambase",17,"AR",0.25,0.0508585090197783,0.986650296242426
"Spambase",17,"AR",0.5,0.0521625733536188,0.986585207583363
"Spambase",17,"AR",0.75,0.0534666376874592,0.986365607548227
