"dataset","sim","method","minpvalue","mse"
"Ailerons",44,"AR",0.5,5.39819979748528e-08
"Ailerons",44,"AR",0.75,5.6106370681878e-08
"Ailerons",44,"AR",0.9,5.9185845890939e-08
"Ailerons",45,"AR",0.01,3.73220826226116e-08
"Ailerons",45,"AR",0.1,4.34935132691721e-08
"Ailerons",45,"AR",0.25,4.82737128463993e-08
"Ailerons",45,"AR",0.5,5.42741489848432e-08
"Ailerons",45,"AR",0.75,5.81222362228734e-08
"Ailerons",45,"AR",0.9,5.99951677504105e-08
"Ailerons",46,"AR",0.01,3.72061352224255e-08
"Ailerons",46,"AR",0.1,4.30163590783154e-08
"Ailerons",46,"AR",0.25,4.87585846634334e-08
"Ailerons",46,"AR",0.5,5.39035816814367e-08
"Ailerons",46,"AR",0.75,5.89478287917183e-08
"Ailerons",46,"AR",0.9,5.73123685306477e-08
"Ailerons",47,"AR",0.01,3.69485222176255e-08
"Ailerons",47,"AR",0.1,4.29283489503395e-08
"Ailerons",47,"AR",0.25,4.94804618540313e-08
"Ailerons",47,"AR",0.5,5.35348800050996e-08
"Ailerons",47,"AR",0.75,5.80892225763716e-08
"Ailerons",47,"AR",0.9,5.83963634653565e-08
"Ailerons",48,"AR",0.01,3.73773908997605e-08
"Ailerons",48,"AR",0.1,4.30588422326434e-08
"Ailerons",48,"AR",0.25,4.953905232439e-08
"Ailerons",48,"AR",0.5,5.39970371650994e-08
"Ailerons",48,"AR",0.75,5.74229448754867e-08
"Ailerons",48,"AR",0.9,5.89814271397154e-08
"Ailerons",49,"AR",0.01,3.7018468995907e-08
"Ailerons",49,"AR",0.1,4.33794034950303e-08
"Ailerons",49,"AR",0.25,4.94282040755906e-08
"Ailerons",49,"AR",0.5,5.47579434017946e-08
"Ailerons",49,"AR",0.75,5.71017932435763e-08
"Ailerons",49,"AR",0.9,5.84313303223378e-08
"Ailerons",50,"AR",0.01,3.72802436420045e-08
"Ailerons",50,"AR",0.1,4.28277884356187e-08
"Ailerons",50,"AR",0.25,4.86577121659704e-08
"Ailerons",50,"AR",0.5,5.31693996166497e-08
"Ailerons",50,"AR",0.75,5.72009332422127e-08
"Ailerons",50,"AR",0.9,5.91053518795921e-08
