"dataset","sim","method","minpvalue","mse"
"Imports85",40,"AR",0.75,9831058.19054416
"Imports85",40,"AR",0.9,10496697.2199084
"Imports85",41,"AR",0.01,8381999.17121232
"Imports85",41,"AR",0.1,7951680.7196387
"Imports85",41,"AR",0.25,8780596.12683344
"Imports85",41,"AR",0.5,9912994.16169005
"Imports85",41,"AR",0.75,9643702.52350997
"Imports85",41,"AR",0.9,10598974.0598648
"Imports85",42,"AR",0.01,7202490.95874528
"Imports85",42,"AR",0.1,7407602.9485897
"Imports85",42,"AR",0.25,9024181.21378407
"Imports85",42,"AR",0.5,9455627.10468893
"Imports85",42,"AR",0.75,8603180.45814385
"Imports85",42,"AR",0.9,10399945.0531875
"Imports85",43,"AR",0.01,6634891.42409399
"Imports85",43,"AR",0.1,7160996.71196088
"Imports85",43,"AR",0.25,8182632.39682825
"Imports85",43,"AR",0.5,8316746.5910983
"Imports85",43,"AR",0.75,9980223.36175047
"Imports85",43,"AR",0.9,10464918.9135191
"Imports85",44,"AR",0.01,6514260.96149905
"Imports85",44,"AR",0.1,8748410.59600741
"Imports85",44,"AR",0.25,7765353.72605794
"Imports85",44,"AR",0.5,9486826.49262604
"Imports85",44,"AR",0.75,9657390.1364051
"Imports85",44,"AR",0.9,11053691.6890561
"Imports85",45,"AR",0.01,7451403.74260604
"Imports85",45,"AR",0.1,7151053.77676427
"Imports85",45,"AR",0.25,8288172.03751587
"Imports85",45,"AR",0.5,8391507.55769016
"Imports85",45,"AR",0.75,9693737.55154551
"Imports85",45,"AR",0.9,9011561.14289307
"Imports85",46,"AR",0.01,6860433.00220676
"Imports85",46,"AR",0.1,7776957.51962058
"Imports85",46,"AR",0.25,8034240.31958531
"Imports85",46,"AR",0.5,8824251.33919825
"Imports85",46,"AR",0.75,8642051.44900503
"Imports85",46,"AR",0.9,9921049.8264301
"Imports85",47,"AR",0.01,8444729.92384601
"Imports85",47,"AR",0.1,7953213.88443959
"Imports85",47,"AR",0.25,7950985.27277118
"Imports85",47,"AR",0.5,9140677.75820428
"Imports85",47,"AR",0.75,10832644.5441286
"Imports85",47,"AR",0.9,10039670.0010506
"Imports85",48,"AR",0.01,7955587.98058587
"Imports85",48,"AR",0.1,8444897.95929561
"Imports85",48,"AR",0.25,7935341.17993231
"Imports85",48,"AR",0.5,8494048.22888808
"Imports85",48,"AR",0.75,7949741.57103448
"Imports85",48,"AR",0.9,8966378.16135185
"Imports85",49,"AR",0.01,7257374.60590743
"Imports85",49,"AR",0.1,7894178.91168252
"Imports85",49,"AR",0.25,8187008.57558671
"Imports85",49,"AR",0.5,9146029.49737668
"Imports85",49,"AR",0.75,8849769.21179173
"Imports85",49,"AR",0.9,10827713.6082447
"Imports85",50,"AR",0.01,7379945.127917
"Imports85",50,"AR",0.1,6744902.0955515
"Imports85",50,"AR",0.25,7680080.50479304
"Imports85",50,"AR",0.5,8804809.96221007
"Imports85",50,"AR",0.75,10072345.8555524
"Imports85",50,"AR",0.9,9771727.42045433
