"dataset","sim","method","minpvalue","mse"
"Abalone",43,"AR",0.9,4.86017463545274
"Abalone",44,"AR",0.01,4.64349916644772
"Abalone",44,"AR",0.1,4.67861971730985
"Abalone",44,"AR",0.25,4.76411319278077
"Abalone",44,"AR",0.5,4.74953390939502
"Abalone",44,"AR",0.75,4.84282832162651
"Abalone",44,"AR",0.9,4.8344542942601
"Abalone",45,"AR",0.01,4.62884982460859
"Abalone",45,"AR",0.1,4.66393857240901
"Abalone",45,"AR",0.25,4.6931661904104
"Abalone",45,"AR",0.5,4.78536540892938
"Abalone",45,"AR",0.75,4.8512537923889
"Abalone",45,"AR",0.9,4.87257862902078
"Abalone",46,"AR",0.01,4.65160158536015
"Abalone",46,"AR",0.1,4.68364304850515
"Abalone",46,"AR",0.25,4.71310739295864
"Abalone",46,"AR",0.5,4.81143288681251
"Abalone",46,"AR",0.75,4.80625140886252
"Abalone",46,"AR",0.9,4.8980129938257
"Abalone",47,"AR",0.01,4.62716598369617
"Abalone",47,"AR",0.1,4.6913343268292
"Abalone",47,"AR",0.25,4.6866200806902
"Abalone",47,"AR",0.5,4.81254849478508
"Abalone",47,"AR",0.75,4.82774235927219
"Abalone",47,"AR",0.9,4.8569684784392
"Abalone",48,"AR",0.01,4.60065527552047
"Abalone",48,"AR",0.1,4.71630707938569
"Abalone",48,"AR",0.25,4.73508815207772
"Abalone",48,"AR",0.5,4.80063029003127
"Abalone",48,"AR",0.75,4.82843865595438
"Abalone",48,"AR",0.9,4.90574313707163
"Abalone",49,"AR",0.01,4.63937872518785
"Abalone",49,"AR",0.1,4.71030392423304
"Abalone",49,"AR",0.25,4.73063860918363
"Abalone",49,"AR",0.5,4.79193266876445
"Abalone",49,"AR",0.75,4.84917693310114
"Abalone",49,"AR",0.9,4.85056386247657
"Abalone",50,"AR",0.01,4.61067703196557
"Abalone",50,"AR",0.1,4.72206700188014
"Abalone",50,"AR",0.25,4.72895197703567
"Abalone",50,"AR",0.5,4.83413607216391
"Abalone",50,"AR",0.75,4.83237383461284
"Abalone",50,"AR",0.9,4.82784910944634
