"dataset","sim","method","minpvalue","misclass","auc"
"Breast Cancer",10,"AR",0.5,0.0292825768667643,0.99442119944212
"Breast Cancer",10,"AR",0.75,0.0307467057101025,0.993639036526066
"Breast Cancer",10,"AR",0.9,0.0292825768667643,0.994345810245392
"Breast Cancer",11,"AR",0.01,0.0307467057101025,0.993761543970749
"Breast Cancer",11,"AR",0.1,0.0292825768667643,0.993921746013796
"Breast Cancer",11,"AR",0.25,0.0292825768667643,0.994195031851936
"Breast Cancer",11,"AR",0.5,0.0263543191800878,0.994308115647028
"Breast Cancer",11,"AR",0.75,0.0278184480234261,0.994015982509706
"Breast Cancer",11,"AR",0.9,0.0307467057101025,0.994166760903163
"Breast Cancer",12,"AR",0.01,0.0292825768667643,0.993827509517886
"Breast Cancer",12,"AR",0.1,0.0307467057101025,0.993997135210524
"Breast Cancer",12,"AR",0.25,0.0307467057101025,0.994100795356025
"Breast Cancer",12,"AR",0.5,0.0307467057101025,0.994289268347846
"Breast Cancer",12,"AR",0.75,0.0292825768667643,0.994374081194165
"Breast Cancer",12,"AR",0.9,0.0322108345534407,0.993808662218704
"Breast Cancer",13,"AR",0.01,0.0307467057101025,0.993893475065023
"Breast Cancer",13,"AR",0.1,0.0307467057101025,0.993950016962569
"Breast Cancer",13,"AR",0.25,0.0292825768667643,0.994468317690075
"Breast Cancer",13,"AR",0.5,0.0322108345534407,0.994157337253572
"Breast Cancer",13,"AR",0.75,0.0278184480234261,0.994044253458479
"Breast Cancer",13,"AR",0.9,0.0307467057101025,0.994260997399073
"Breast Cancer",14,"AR",0.01,0.0336749633967789,0.993648460175657
"Breast Cancer",14,"AR",0.1,0.0322108345534407,0.9942327264503
"Breast Cancer",14,"AR",0.25,0.0307467057101025,0.993808662218704
"Breast Cancer",14,"AR",0.5,0.0307467057101025,0.993912322364205
"Breast Cancer",14,"AR",0.75,0.0307467057101025,0.9942327264503
"Breast Cancer",14,"AR",0.9,0.0307467057101025,0.994242150099891
"Breast Cancer",15,"AR",0.01,0.0322108345534407,0.993705002073203
