"dataset","sim","method","minpvalue","misclass","auc"
"Birthwt",12,"AR",0.75,0.328042328042328,0.654889178617992
"Birthwt",12,"AR",0.9,0.333333333333333,0.655280312907432
"Birthwt",13,"AR",0.01,0.306878306878307,0.648761408083442
"Birthwt",13,"AR",0.1,0.338624338624339,0.648239895697523
"Birthwt",13,"AR",0.25,0.333333333333333,0.643415906127771
"Birthwt",13,"AR",0.5,0.317460317460317,0.648370273794003
"Birthwt",13,"AR",0.75,0.333333333333333,0.655149934810952
"Birthwt",13,"AR",0.9,0.328042328042328,0.657496740547588
"Birthwt",14,"AR",0.01,0.322751322751323,0.649674054758801
"Birthwt",14,"AR",0.1,0.322751322751323,0.649022164276402
"Birthwt",14,"AR",0.25,0.333333333333333,0.655149934810952
"Birthwt",14,"AR",0.5,0.328042328042328,0.652542372881356
"Birthwt",14,"AR",0.75,0.312169312169312,0.657235984354628
"Birthwt",14,"AR",0.9,0.317460317460317,0.649674054758801
"Birthwt",15,"AR",0.01,0.322751322751323,0.647327249022164
"Birthwt",15,"AR",0.1,0.333333333333333,0.65593220338983
"Birthwt",15,"AR",0.25,0.322751322751323,0.64367666232073
"Birthwt",15,"AR",0.5,0.338624338624339,0.652411994784876
"Birthwt",15,"AR",0.75,0.333333333333333,0.654106910039113
"Birthwt",15,"AR",0.9,0.328042328042328,0.646936114732725
"Birthwt",16,"AR",0.01,0.312169312169312,0.647848761408083
"Birthwt",16,"AR",0.1,0.333333333333333,0.652672750977836
"Birthwt",16,"AR",0.25,0.328042328042328,0.648239895697523
"Birthwt",16,"AR",0.5,0.333333333333333,0.659582790091265
"Birthwt",16,"AR",0.75,0.333333333333333,0.653324641460235
"Birthwt",16,"AR",0.9,0.317460317460317,0.657235984354628
"Birthwt",17,"AR",0.01,0.306878306878307,0.646805736636245
"Birthwt",17,"AR",0.1,0.322751322751323,0.648239895697523
"Birthwt",17,"AR",0.25,0.349206349206349,0.649282920469361
"Birthwt",17,"AR",0.5,0.328042328042328,0.648761408083442
"Birthwt",17,"AR",0.75,0.317460317460317,0.657105606258149
