"dataset","sim","method","minpvalue","mse"
"Housing",42,"AR",0.25,17.9277046631235
"Housing",42,"AR",0.5,18.0514836650743
"Housing",42,"AR",0.75,19.5643208476052
"Housing",42,"AR",0.9,21.8963875283315
"Housing",43,"AR",0.01,13.8546506784837
"Housing",43,"AR",0.1,15.8852738714757
"Housing",43,"AR",0.25,17.3376756895657
"Housing",43,"AR",0.5,19.6745303818394
"Housing",43,"AR",0.75,21.0793066995972
"Housing",43,"AR",0.9,21.5771654236609
"Housing",44,"AR",0.01,14.4501010956737
"Housing",44,"AR",0.1,16.3574014917899
"Housing",44,"AR",0.25,18.1052536440864
"Housing",44,"AR",0.5,19.280742073019
"Housing",44,"AR",0.75,20.1070995541166
"Housing",44,"AR",0.9,20.5008277866826
"Housing",45,"AR",0.01,13.9285393892807
"Housing",45,"AR",0.1,16.3756675955399
"Housing",45,"AR",0.25,16.7860794807889
"Housing",45,"AR",0.5,18.3907946819197
"Housing",45,"AR",0.75,19.9093282937332
"Housing",45,"AR",0.9,20.7300624507541
"Housing",46,"AR",0.01,13.6746295398658
"Housing",46,"AR",0.1,16.5648406109504
"Housing",46,"AR",0.25,17.3673884969556
"Housing",46,"AR",0.5,17.9853999124233
"Housing",46,"AR",0.75,19.7226003290693
"Housing",46,"AR",0.9,20.8842682484393
"Housing",47,"AR",0.01,13.8600047521197
"Housing",47,"AR",0.1,16.1402632681339
"Housing",47,"AR",0.25,18.5467156495266
"Housing",47,"AR",0.5,18.7531711757261
"Housing",47,"AR",0.75,19.7319306501476
"Housing",47,"AR",0.9,21.2542573350308
"Housing",48,"AR",0.01,14.7557128084546
"Housing",48,"AR",0.1,15.9710850087936
"Housing",48,"AR",0.25,17.5923863191933
"Housing",48,"AR",0.5,18.9044677448128
"Housing",48,"AR",0.75,20.1029305066987
"Housing",48,"AR",0.9,21.1340875436554
"Housing",49,"AR",0.01,15.2055007880356
"Housing",49,"AR",0.1,15.9792320683363
"Housing",49,"AR",0.25,17.2403192325499
"Housing",49,"AR",0.5,19.2393975140366
"Housing",49,"AR",0.75,20.4253220360267
"Housing",49,"AR",0.9,20.5510862040971
"Housing",50,"AR",0.01,14.1500145723091
"Housing",50,"AR",0.1,15.975748144793
"Housing",50,"AR",0.25,16.9758631960408
"Housing",50,"AR",0.5,20.4555719804522
"Housing",50,"AR",0.75,20.8615258497195
"Housing",50,"AR",0.9,21.3458696324803
