"dataset","sim","method","minpvalue","misclass","auc"
"Twonorm",26,"AR",0.75,0.0254545454545455,0.996152433425161
"Twonorm",26,"AR",0.9,0.0257575757575758,0.995890541781451
"Twonorm",27,"AR",0.01,0.0278787878787879,0.995555922865014
"Twonorm",27,"AR",0.1,0.0245454545454545,0.995883195592286
"Twonorm",27,"AR",0.25,0.0254545454545455,0.996009917355372
"Twonorm",27,"AR",0.5,0.0266666666666667,0.99589898989899
"Twonorm",27,"AR",0.75,0.0242424242424242,0.99613810835629
"Twonorm",27,"AR",0.9,0.0254545454545455,0.995967676767677
"Twonorm",28,"AR",0.01,0.0266666666666667,0.995573553719008
"Twonorm",28,"AR",0.1,0.0257575757575758,0.995703948576676
"Twonorm",28,"AR",0.25,0.0254545454545455,0.996060606060606
"Twonorm",28,"AR",0.5,0.0263636363636364,0.99596290174472
"Twonorm",28,"AR",0.75,0.0275757575757576,0.995922497704316
"Twonorm",28,"AR",0.9,0.026969696969697,0.995819651056015
"Twonorm",29,"AR",0.01,0.0278787878787879,0.995384022038567
"Twonorm",29,"AR",0.1,0.0254545454545455,0.995854545454545
"Twonorm",29,"AR",0.25,0.0263636363636364,0.995612121212121
"Twonorm",29,"AR",0.5,0.0260606060606061,0.995741046831956
"Twonorm",29,"AR",0.75,0.0260606060606061,0.996019467401286
"Twonorm",29,"AR",0.9,0.026969696969697,0.995755004591368
"Twonorm",30,"AR",0.01,0.0266666666666667,0.995722314049587
"Twonorm",30,"AR",0.1,0.0251515151515152,0.995881359044995
"Twonorm",30,"AR",0.25,0.0254545454545455,0.995830303030303
"Twonorm",30,"AR",0.5,0.0239393939393939,0.995957759412305
"Twonorm",30,"AR",0.75,0.0260606060606061,0.995929476584022
"Twonorm",30,"AR",0.9,0.0251515151515152,0.995826262626263
"Twonorm",31,"AR",0.01,0.0245454545454545,0.995705050505051
"Twonorm",31,"AR",0.1,0.0260606060606061,0.995518824609734
"Twonorm",31,"AR",0.25,0.0263636363636364,0.995744719926538
"Twonorm",31,"AR",0.5,0.0266666666666667,0.995937190082645
"Twonorm",31,"AR",0.75,0.0236363636363636,0.995919926538108
