"dataset","sim","method","minpvalue","misclass","auc"
"Ringnorm",10,"AR",0.75,0.0436363636363636,0.995140863177227
"Ringnorm",10,"AR",0.9,0.0457575757575758,0.995237832874197
"Ringnorm",11,"AR",0.01,0.0290909090909091,0.996415059687787
"Ringnorm",11,"AR",0.1,0.0366666666666667,0.99565987144169
"Ringnorm",11,"AR",0.25,0.0357575757575758,0.995683011937557
"Ringnorm",11,"AR",0.5,0.0427272727272727,0.995419651056015
"Ringnorm",11,"AR",0.75,0.0481818181818182,0.995200367309458
"Ringnorm",11,"AR",0.9,0.0427272727272727,0.995634527089073
"Ringnorm",12,"AR",0.01,0.0293939393939394,0.996488521579431
"Ringnorm",12,"AR",0.1,0.0339393939393939,0.996126721763085
"Ringnorm",12,"AR",0.25,0.0403030303030303,0.995858953168044
"Ringnorm",12,"AR",0.5,0.0436363636363636,0.99593204775023
"Ringnorm",12,"AR",0.75,0.0475757575757576,0.995350964187328
"Ringnorm",12,"AR",0.9,0.0457575757575758,0.995601836547291
"Ringnorm",13,"AR",0.01,0.0309090909090909,0.996301561065197
"Ringnorm",13,"AR",0.1,0.0354545454545455,0.996125619834711
"Ringnorm",13,"AR",0.25,0.0360606060606061,0.995784389348026
"Ringnorm",13,"AR",0.5,0.0415151515151515,0.995736639118457
"Ringnorm",13,"AR",0.75,0.0457575757575758,0.995606611570248
"Ringnorm",13,"AR",0.9,0.0478787878787879,0.995201101928375
"Ringnorm",14,"AR",0.01,0.03,0.996299357208448
"Ringnorm",14,"AR",0.1,0.0333333333333333,0.995765289256198
"Ringnorm",14,"AR",0.25,0.0393939393939394,0.995660606060606
"Ringnorm",14,"AR",0.5,0.043030303030303,0.995021120293848
"Ringnorm",14,"AR",0.75,0.043030303030303,0.995741046831956
"Ringnorm",14,"AR",0.9,0.046969696969697,0.995201101928375
"Ringnorm",15,"AR",0.01,0.0287878787878788,0.996357392102847
"Ringnorm",15,"AR",0.1,0.0339393939393939,0.996156106519743
"Ringnorm",15,"AR",0.25,0.0403030303030303,0.995548576675849
"Ringnorm",15,"AR",0.5,0.0427272727272727,0.995672359963269
"Ringnorm",15,"AR",0.75,0.0442424242424242,0.995559595959596
"Ringnorm",15,"AR",0.9,0.0472727272727273,0.995558494031221
"Ringnorm",16,"AR",0.01,0.0287878787878788,0.996114967860422
"Ringnorm",16,"AR",0.1,0.033030303030303,0.99600624426079
"Ringnorm",16,"AR",0.25,0.0387878787878788,0.995740312213039
"Ringnorm",16,"AR",0.5,0.0439393939393939,0.995433241505969
"Ringnorm",16,"AR",0.75,0.0448484848484848,0.995576124885216
"Ringnorm",16,"AR",0.9,0.0445454545454545,0.995503397612489
"Ringnorm",17,"AR",0.01,0.0284848484848485,0.996350045913682
"Ringnorm",17,"AR",0.1,0.0357575757575758,0.995844628099174
"Ringnorm",17,"AR",0.25,0.0372727272727273,0.996038567493113
"Ringnorm",17,"AR",0.5,0.0433333333333333,0.995421487603306
"Ringnorm",17,"AR",0.75,0.0448484848484848,0.995602938475666
