"dataset","sim","method","minpvalue","misclass","auc"
"Sonar",20,"AR",0.01,0.177884615384615,0.923098356088047
"Sonar",20,"AR",0.1,0.158653846153846,0.941395003250673
"Sonar",20,"AR",0.25,0.153846153846154,0.940001857527631
"Sonar",20,"AR",0.5,0.168269230769231,0.934800780161605
"Sonar",20,"AR",0.75,0.168269230769231,0.932943252530881
"Sonar",20,"AR",0.9,0.163461538461538,0.938515835423052
"Sonar",21,"AR",0.01,0.163461538461538,0.922169592272685
"Sonar",21,"AR",0.1,0.163461538461538,0.941116374106065
"Sonar",21,"AR",0.25,0.163461538461538,0.928113680691
"Sonar",21,"AR",0.5,0.163461538461538,0.930342713847868
"Sonar",21,"AR",0.75,0.177884615384615,0.925048760100306
"Sonar",21,"AR",0.9,0.158653846153846,0.939908981146095
"Sonar",22,"AR",0.01,0.168269230769231,0.926813411349494
"Sonar",22,"AR",0.1,0.168269230769231,0.934615027398533
"Sonar",22,"AR",0.25,0.168269230769231,0.92690628773103
"Sonar",22,"AR",0.5,0.173076923076923,0.933593387201635
"Sonar",22,"AR",0.75,0.163461538461538,0.932385994241664
"Sonar",22,"AR",0.9,0.177884615384615,0.936286802266184
"Sonar",23,"AR",0.01,0.173076923076923,0.92179808674654
"Sonar",23,"AR",0.1,0.168269230769231,0.928670938980217
"Sonar",23,"AR",0.25,0.163461538461538,0.929042444506362
"Sonar",23,"AR",0.5,0.173076923076923,0.929321073650971
"Sonar",23,"AR",0.75,0.173076923076923,0.929599702795579
"Sonar",23,"AR",0.9,0.177884615384615,0.932664623386273
"Sonar",24,"AR",0.01,0.177884615384615,0.922262468654221
"Sonar",24,"AR",0.1,0.168269230769231,0.938887340949197
"Sonar",24,"AR",0.25,0.149038461538462,0.936565431410792
"Sonar",24,"AR",0.5,0.158653846153846,0.936286802266184
"Sonar",24,"AR",0.75,0.1875,0.929785455558651
"Sonar",24,"AR",0.9,0.177884615384615,0.930435590229405
"Sonar",25,"AR",0.01,0.173076923076923,0.922912603324974
"Sonar",25,"AR",0.1,0.153846153846154,0.937308442463082
