,rf_vimp.1,rf_vimp.2,rf_vimp.3,rf_vimp.4,rf_vimp.5,sss_vimp.1,sss_vimp.2,sss_vimp.3,sss_vimp.4,sss_vimp.5,er_vimp.1,er_vimp.2,er_vimp.3,er_vimp.4,er_vimp.5,ar_vimp.1,ar_vimp.2,ar_vimp.3,ar_vimp.4,ar_vimp.5
41,-0.013344934,-0.002806602,0.001428396,0.001497637,-0.015577816,-0.012579571,-0.005720329,-0.005018807,0.00256775,-0.013763903,-0.011221967,-0.008893566,-0.007806538,0.000425146,-0.001813806,-0.009986173,-0.00379288,-0.004503727,0.000231046,-0.007593018
42,0.015036208,0.001308839,0.005778439,0.002886317,-0.005332554,0.009467715,-0.000190806,0.003417185,-0.002587012,-0.012362203,0.011246458,0.004618829,0.008215705,0.003381765,-0.001080859,0.011190013,-0.000158309,0.007742996,-0.000666518,-0.0018364
43,0.005316396,0.003808261,0.000162877,0.012711706,0.004416153,0.005840058,0.004417961,0.004136229,0.014540572,0.005451303,0.001505715,0.00567105,0.007555507,0.009723564,-0.001208219,0.002312563,0.000311597,0.000357056,0.007087294,-0.001484956
44,0.014174999,-0.000338495,0.00882193,0.006976871,0.013155787,0.012887013,0.001760095,0.008107663,0.007100626,0.013985746,0.012131486,-0.004008221,0.006961636,0.009777733,0.001783009,0.019652413,-0.000382557,0.010611684,0.008824313,0.004685449
45,-0.005706753,0.00055588,0.000203815,0.004319134,0.032452277,-0.007432003,0.002613793,-0.000327799,0.008379776,0.033081316,-0.009397539,0.009142184,-0.001977202,0.004507459,0.006899893,-0.005311874,0.005811079,-0.00278649,0.00045461,0.01209387
46,-0.008385291,-0.004010355,-0.00454331,0.017381705,-0.006434398,-0.004887458,-0.005412739,-0.001761995,0.02209174,-0.005379984,-0.002666508,-0.006924016,-0.006419851,7.47E-05,0.001294582,-0.007185851,-0.003238304,-0.006733289,0.013141249,-0.000629252
47,-0.015813758,-0.004571292,-0.007282971,0.001222138,-0.013303686,-0.015262425,-0.00479915,-0.007693391,0.002993132,-0.018897872,-0.017037144,-0.01339464,-0.016036408,0.00372687,-0.011189548,-0.012161494,-0.004925796,-0.00949735,0.00375777,-0.010191336
48,-0.000487335,-0.001382512,-0.005971653,-0.012419534,-0.006580091,-0.002023297,0.000482898,-0.004108116,-0.014266731,-0.005501259,-0.001022665,0.001276461,-0.000894508,-0.010034669,-0.002625353,-0.002157909,-0.00274214,-0.002867646,-0.010647009,-0.004300905
49,-0.004948239,0.000790202,0.002498501,-0.001202617,-0.0114575,-0.006223147,-0.001228139,0.003703976,-0.000986268,-0.014266686,-0.004356904,-0.000841599,0.010303629,-0.002685429,-0.000693151,-0.00459556,-0.002188255,0.005706206,-0.004595127,-0.002960835
50,-0.00503368,0.008452112,0.008505176,0.002725305,-0.010785169,-0.003902999,0.008818053,0.010250152,0.000555928,-0.014575978,-0.006866707,0.016086929,0.010291056,0.004121371,-0.002169372,-0.005759027,0.018355605,0.014328981,0.001390667,-0.00435021
51,-0.004041023,0.004820601,-0.003229798,0.0086841,-0.040070724,-0.002510869,0.007680526,-0.002710863,0.005773708,-0.036903772,-0.000722694,0.019779099,-0.005752169,0.004663063,-0.011461993,0.00058727,0.018826388,-0.005372096,0.008829788,-0.012677256
52,-0.001146322,-0.000265329,-0.005943404,0.002907944,0.016196552,-0.000476251,-0.000303052,-0.005812918,0.001495219,0.011937161,0.000977953,-0.000892937,-0.008836087,-0.001636691,0.002172336,-0.002260227,-0.00140484,-0.005859797,-0.000994357,0.006512685
53,-0.00313408,0.005821709,0.001300119,-0.004129737,-0.00180466,-0.004039622,0.00438917,0.000489485,-0.002668208,-0.002649429,-0.00052383,0.006508258,0.000315447,-0.000994075,0.000410481,-0.002111074,0.006542629,-0.000221637,-0.004126784,0.001698454
54,0.003602353,-0.003051342,0.010141066,-0.004797299,-0.01775204,0.005590835,-0.004130487,0.009571072,-0.00377955,-0.015566635,-0.002080858,-0.011406857,0.012290261,-0.002857369,-0.003647832,-0.000794199,-0.005647174,0.014832719,-0.004565807,-0.005996107
55,0.007202045,0.001438334,0.001070059,0.00365412,-0.002317631,0.006564555,0.000400711,0.000791364,0.003623876,0.001840416,0.015723017,-0.00109357,0.004778253,0.002096854,0.001983821,0.010956691,-1.07E-05,0.000517608,0.003489049,2.36E-05
56,-8.88E-05,-0.002450934,0.003405142,-0.016684418,-0.023449219,-0.001317803,-0.004011706,0.00609646,-0.017195761,-0.02533173,-0.000960268,-0.009443918,0.007524273,-0.009468359,-0.002464068,-0.001632274,-0.00461449,0.014029677,-0.011082332,-0.006557106
57,-0.01099811,-0.000652681,0.001463954,-0.006871202,-0.012856446,-0.008987215,0.002394405,0.004415884,-0.004709193,-0.014838987,-0.005478497,-0.002685508,-0.00138371,0.002492095,-6.04E-05,-0.009035698,0.000380566,0.00278088,-0.002066436,-0.004183365
58,-0.000276901,-0.004092342,0.000989486,0.004804947,-0.009319944,-0.001368518,-0.004542507,0.001830936,0.004204526,-0.00717356,-0.000962164,-0.008531164,0.000413902,-0.001472729,-0.005991676,-0.002724655,-0.003862567,-0.000766632,-9.88E-05,-0.005898103
59,0.011379396,-0.001425531,-0.005384678,-0.007315653,-0.015917977,0.010807986,-0.002947474,-0.008208905,-0.012410661,-0.021285936,0.006016536,-0.001871543,-0.009252516,-0.005763379,-0.000767185,0.013676136,-0.001823552,-0.007446561,-0.003270577,-0.00577519
60,-0.015114039,-0.003102077,-0.009917997,-0.013526529,-0.0031076,-0.015313024,-0.001275445,-0.008622439,-0.015377628,-0.00812207,-0.004133897,0.001167195,-0.006224657,-0.015321771,-0.002012893,-0.009645837,-0.002347358,-0.00807715,-0.010480786,-0.002383063
61,0.002512974,0.000392294,-0.00421413,-0.006821855,-3.88E-05,-0.001257498,0.000238142,-0.001413678,-0.007828628,0.000749564,-0.001392472,-0.003632969,-0.005783235,-0.006198447,-0.000184223,0.001550672,-0.002108954,-0.003809036,-0.00702938,-0.001466081
62,-0.007372083,-0.002780554,0.014951135,-0.003829717,-0.009536004,-0.006993518,-0.005605317,0.015642376,-0.005014251,-0.012280346,-0.007724717,-0.008843624,0.013650941,-0.000686955,-0.001787104,-0.006331179,-0.003801007,0.01260041,-0.002320966,-0.004351757
